Make_model,version,Power,Range,Fuel,Gears,Doors,Seats,drive,Body,Deposit,MonthlyAmount,AnnualMileage,Duration,Services_included,URL,PICTURE_URL,offre,DateTime
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.430 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F79pn5vebhsm7woz.png,NAF Lease,09/03/2026 17:22:37
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.730 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fnkur8jrkjbuz1rn.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,6.350 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F9fyg872u8jst3c2.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,6.620 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Frtwlp3i2cof4j6h.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,6.620 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fh1fl14lb5iurdux.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,7.110 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F308p58agh321jo5.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,5.750 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fg4ta5cv2rffhaw6.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,5.990 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fnxd1y31njnr3bwd.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,5.990 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fje5qjvfyavader6.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,6.429 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fffiuyvjy7p9qzhw.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,7.575 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fw1mqy83jstsrydf.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,7.879 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F6l4s5je9o2csaju.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,7.879 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fgkhk0xsdx9iakac.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,8.439 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fp27y3bizn1sqrmg.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,6.349 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F8moo1qeedlzed2p.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,6.589 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Frzs02r0b8m0sfym.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,6.589 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fwsmyx9mcnngs8f6.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,7.010 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ftkioz2c2w68c91g.png,NAF Lease,09/03/2026 17:22:37
NIO EL6,100kwh BaaS,,529,Electric,Automatic,5,5,,SUV,100.000 kr,10.799 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121789/nio-el6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fibwjhydeeygx50j.png,NAF Lease,09/03/2026 17:22:37
NIO EL6,100kwh BaaS,,529,Electric,Automatic,5,5,,SUV,100.000 kr,11.080 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121789/nio-el6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F2waqu55n2s1qpw5.png,NAF Lease,09/03/2026 17:22:37
NIO EL6,100kwh BaaS,,529,Electric,Automatic,5,5,,SUV,100.000 kr,11.080 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121789/nio-el6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Flaqkpecjnk954ds.png,NAF Lease,09/03/2026 17:22:37
NIO EL6,100kwh BaaS,,529,Electric,Automatic,5,5,,SUV,100.000 kr,11.740 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121789/nio-el6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Flds7g9rujiso1bb.png,NAF Lease,09/03/2026 17:22:37
Maserati Grecale Folgore,,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,20.250 kr,15 000 km,36 mo,"What's included in the price?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/136547/maserati-grecale-folgore/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fd0xdtwlozw5v7d9.png,,09/03/2026 17:22:37
Maserati Grecale Folgore,,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,21.000 kr,20 000 km,36 mo,"What's included in the price?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/136547/maserati-grecale-folgore/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fy339uxmuzoy39ug.png,,09/03/2026 17:22:37
Maserati Grecale Folgore,,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,21.000 kr,20 000 km,36 mo,"What's included in the price?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/136547/maserati-grecale-folgore/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fu7sjm5e3ofm8oh7.png,,09/03/2026 17:22:37
Maserati Grecale Folgore,,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,22.220 kr,25 000 km,36 mo,"What's included in the price?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/136547/maserati-grecale-folgore/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fpy3gtqivkkgk7yg.png,,09/03/2026 17:22:37
Tesla Model 3,Standard RWD,,554,Electric,Automatic,4,4,,Sedan,100.000 kr,2.750 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/155687/tesla-model-3/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fxoiool0q6efxgr3.png,NAF Lease,09/03/2026 17:22:37
Tesla Model 3,Standard RWD,,554,Electric,Automatic,4,4,,Sedan,100.000 kr,2.920 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/155687/tesla-model-3/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ftqz850wknzpbep4.png,NAF Lease,09/03/2026 17:22:37
Tesla Model 3,Standard RWD,,554,Electric,Automatic,4,4,,Sedan,100.000 kr,2.920 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/155687/tesla-model-3/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fc6x2kimsjysoy0f.png,NAF Lease,09/03/2026 17:22:37
Tesla Model 3,Standard RWD,,554,Electric,Automatic,4,4,,Sedan,100.000 kr,3.210 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/155687/tesla-model-3/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F7u2vuipslk2pyn3.png,NAF Lease,09/03/2026 17:22:37
XPENG G6,AWD Performance Long Range,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,3.390 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204414/xpeng-g6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fegwl5urfn7t12ed.png,NAF Lease,09/03/2026 17:22:37
XPENG G6,AWD Performance Long Range,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,3.645 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204414/xpeng-g6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fl9aucs5je1dj461.png,NAF Lease,09/03/2026 17:22:37
XPENG G6,AWD Performance Long Range,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,3.645 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204414/xpeng-g6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fnnv7xpc6yxr5lvz.png,NAF Lease,09/03/2026 17:22:37
XPENG G6,AWD Performance Long Range,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,4.099 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204414/xpeng-g6/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fr1n4gceyd3di4c4.png,NAF Lease,09/03/2026 17:22:37
Mazda 6 E,Takumi Long Range,,,Electric,Automatic,,,,Sedan,100.000 kr,3.399 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/207308/mazda-6-e/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fkpxkylxdgia9ida.png,NAF Lease,09/03/2026 17:22:37
Mazda 6 E,Takumi Long Range,,,Electric,Automatic,,,,Sedan,100.000 kr,3.619 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/207308/mazda-6-e/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fdh8h364qu2sihvs.png,NAF Lease,09/03/2026 17:22:37
Mazda 6 E,Takumi Long Range,,,Electric,Automatic,,,,Sedan,100.000 kr,3.619 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/207308/mazda-6-e/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F69rhpmr8mkhah95.png,NAF Lease,09/03/2026 17:22:37
Mazda 6 E,Takumi Long Range,,,Electric,Automatic,,,,Sedan,100.000 kr,3.979 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/207308/mazda-6-e/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ff7n2xg2hg9t0x6m.png,NAF Lease,09/03/2026 17:22:37
